127.0.0.1 - - [16/Apr/2018:20:31:32 -0600] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:35:04 -0600] "GET /LeaveManagement/HTML/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:35:15 -0600] "POST /LeaveManagement/LoginServlet HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:35:20 -0600] "GET /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:35:43 -0600] "POST /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:38:50 -0600] "POST /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:39:17 -0600] "GET /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:39:29 -0600] "POST /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 500 2792
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:40:36 -0600] "POST /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 500 2792
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:43:16 -0600] "GET /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:43:24 -0600] "POST /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:45:05 -0600] "GET /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:45:32 -0600] "POST /LeaveManagement/LoginServlet HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:45:35 -0600] "GET /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:45:44 -0600] "POST /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:20:45:44 -0600] "GET /LeaveManagement/JSP/ApplyLeaveSuccess.jsp HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:05:24 -0600] "GET /LeaveManagement/HTML/Login.html HTTP/1.1" 200 342
